Date,WD,value
7/16/11,3320,A:e
7/17/11,3240,A:e
7/18/11,2990,A:e
7/19/11,3360,A:e
7/20/11,6320,A:e
7/21/11,5610,A:e
7/22/11,4270,A:e
7/23/11,4550,A:e
7/24/11,4490,A:e
7/25/11,4160,A:e
7/26/11,5070,A:e
7/27/11,5740,A:e
7/28/11,5180,A:e
7/29/11,4110,A:e
7/30/11,3870,A:e
7/31/11,3300,A:e
8/1/11,2750,A:e
8/2/11,2690,A:e
8/3/11,3460,A:e
8/4/11,3200,A:e
8/5/11,3000,A:e
8/6/11,3010,A:e
8/7/11,3000,A:e
8/8/11,2860,A:e
8/9/11,2860,A:e
8/10/11,3040,A:e
8/11/11,2790,A:e
8/12/11,2570,A:e
8/13/11,2430,A:e
8/14/11,2480,A:e
8/15/11,2670,A:e
8/16/11,2750,A:e
8/17/11,2670,A:e
8/18/11,2580,A:e
8/19/11,2650,A:e
8/20/11,2780,A:e
8/21/11,3120,A:e
8/22/11,3550,A:e
8/23/11,2940,A:e
8/24/11,2740,A:e
8/25/11,2790,A:e
8/26/11,2810,A:e
8/27/11,2560,A:e
8/28/11,2470,A:e
8/29/11,2780,A:e
8/30/11,2820,A:e
8/31/11,2420,A:e
9/1/11,2260,A:e
9/2/11,2270,A:e
9/3/11,2320,A:e
9/4/11,2850,A:e
9/5/11,4600,A:e
9/6/11,10600,A:e
9/7/11,17900,A:e
9/8/11,25600,A
9/9/11,16300,A:e
9/10/11,11200,A:e
9/11/11,7720,A:e
9/12/11,6820,A:e
9/13/11,5300,A:e
9/14/11,4200,A:e
9/15/11,3690,A:e
9/16/11,3930,A:e
9/17/11,4330,A:e
9/18/11,4430,A:e
9/19/11,4320,A:e
9/20/11,6000,A:e
9/21/11,4250,A:e
9/22/11,4990,A:e
9/23/11,6060,A:e
9/24/11,7080,A:e
9/25/11,7180,A:e
9/26/11,6830,A:e
9/27/11,8830,A:e
9/28/11,10300,A:e
9/29/11,8920,A:e
9/30/11,7900,A:e
10/1/11,10600,A:e
10/2/11,10000,A:e
10/3/11,9680,A:e
10/4/11,6660,A:e
10/5/11,9070,A:e
10/6/11,9660,A:e
10/7/11,8470,A:e
10/8/11,7320,A:e
10/9/11,6880,A:e
10/10/11,6920,A:e
10/11/11,5930,A:e
10/12/11,4950,A:e
10/13/11,6140,A:e
10/14/11,10000,A:e
10/15/11,12700,A:e
10/16/11,13400,A:e
10/17/11,12700,A:e
10/18/11,10300,A:e
10/19/11,8500,A:e
10/20/11,8180,A:e
10/21/11,7970,A:e
10/22/11,8600,A:e
10/23/11,9270,A:e
10/24/11,10600,A:e
10/25/11,11800,A:e
10/26/11,10700,A:e
10/27/11,11000,A:e
10/28/11,12100,A:e
10/29/11,13000,A:e
10/30/11,13500,A:e
10/31/11,13800,A:e
11/1/11,15300,A:e
11/2/11,12400,A:e
11/3/11,11000,A:e
11/4/11,9490,A:e
11/5/11,7470,A:e
11/6/11,8150,A:e
11/7/11,8120,A:e
11/8/11,7240,A:e
11/9/11,5830,A:e
11/10/11,5280,A:e
11/11/11,7440,A:e
11/12/11,8020,A:e
11/13/11,6720,A:e
11/14/11,5240,A:e
11/15/11,4730,A:e
11/16/11,6980,A:e
11/17/11,18200,A
11/18/11,18100,A
11/19/11,18900,A
11/20/11,11100,A
11/21/11,13600,A
11/22/11,19200,A
11/23/11,42900,A
11/24/11,37000,A
11/25/11,33700,A
11/26/11,28500,A
11/27/11,23800,A
11/28/11,18700,A
11/29/11,20500,A
11/30/11,27800,A
12/1/11,44400,A
12/2/11,31900,A
12/3/11,22900,A
12/4/11,16800,A
12/5/11,11700,A
12/6/11,10700,A
12/7/11,21900,A
12/8/11,77900,A
12/9/11,89500,A
12/10/11,67000,A
12/11/11,45100,A
12/12/11,29500,A
12/13/11,21600,A
12/14/11,19300,A
12/15/11,13800,A
12/16/11,13600,A
12/17/11,11600,A
12/18/11,9860,A
12/19/11,13400,A
12/20/11,12500,A
12/21/11,13200,A
12/22/11,12000,A
12/23/11,16400,A
12/24/11,32200,A
12/25/11,35200,A
12/26/11,27300,A
12/27/11,26900,A
12/28/11,35700,A
12/29/11,31500,A
12/30/11,26700,A
12/31/11,24500,A
1/1/12,16100,A
1/2/12,18300,A
1/3/12,15400,A:e
1/4/12,16300,A:e
1/5/12,14700,A
1/6/12,12600,A
1/7/12,11900,A:e
1/8/12,11800,A:e
1/9/12,11700,A
1/10/12,12100,A:e
1/11/12,13000,A
1/12/12,16100,A:e
1/13/12,23000,A
1/14/12,29600,A
1/15/12,28100,A
1/16/12,23700,A
1/17/12,19700,A
1/18/12,27700,A
1/19/12,31300,A
1/20/12,32500,A
1/21/12,31000,A
1/22/12,41500,A
1/23/12,39700,A
1/24/12,37800,A
1/25/12,29500,A
1/26/12,27900,A
1/27/12,27600,A
1/28/12,26200,A
1/29/12,27000,A
1/30/12,25000,A
1/31/12,22300,A
2/1/12,17600,A
2/2/12,17800,A
2/3/12,22500,A
2/4/12,22200,A
2/5/12,22200,A
2/6/12,17200,A
2/7/12,20500,A
2/8/12,21500,A
2/9/12,15900,A:e
2/10/12,16200,A:e
2/11/12,13900,A:e
2/12/12,13400,A:e
2/13/12,11300,A:e
2/14/12,11800,A:e
2/15/12,12400,A:e
2/16/12,12800,A:e
2/17/12,13000,A
2/18/12,26600,A
2/19/12,27200,A
2/20/12,22300,A
2/21/12,19400,A
2/22/12,20800,A
2/23/12,21000,A
2/24/12,37000,A
2/25/12,46100,A
2/26/12,40200,A
2/27/12,31200,A
2/28/12,25000,A
2/29/12,24600,A
3/1/12,57300,A
3/2/12,83000,A
3/3/12,95200,A
3/4/12,86500,A
3/5/12,65100,A
3/6/12,47900,A
3/7/12,39100,A
3/8/12,30600,A
3/9/12,31900,A
3/10/12,31400,A
3/11/12,31000,A
3/12/12,28400,A
3/13/12,22500,A
3/14/12,19300,A
3/15/12,17100,A:e
3/16/12,18400,A
3/17/12,18400,A
3/18/12,19900,A
3/19/12,21500,A
3/20/12,30400,A
3/21/12,26400,A
3/22/12,27800,A
3/23/12,23500,A
3/24/12,21300,A
3/25/12,28000,A
3/26/12,50000,A
3/27/12,43700,A
3/28/12,33300,A
3/29/12,26400,A
3/30/12,21100,A
3/31/12,17200,A
4/1/12,13800,A
4/2/12,12400,A:e
4/3/12,12200,A
4/4/12,11700,A:e
4/5/12,13700,A:e
4/6/12,14600,A:e
4/7/12,15600,A
4/8/12,12000,A
4/9/12,12100,A
4/10/12,9360,A
4/11/12,11200,A
4/12/12,8130,A:e
4/13/12,8390,A:e
4/14/12,7530,A:e
4/15/12,7400,A:e
4/16/12,7210,A:e
4/17/12,6810,A:e
4/18/12,6890,A:e
4/19/12,8500,A:e
4/20/12,10100,A:e
4/21/12,11100,A:e
4/22/12,9160,A:e
4/23/12,10700,A:e
4/24/12,12100,A:e
4/25/12,11300,A:e
4/26/12,32700,A
4/27/12,65800,A
4/28/12,58500,A
4/29/12,47100,A
4/30/12,27500,A
5/1/12,26000,A
5/2/12,30600,A
5/3/12,32200,A
5/4/12,28000,A
5/5/12,38300,A
5/6/12,45000,A
5/7/12,29600,A
5/8/12,27700,A
5/9/12,24900,A
5/10/12,21100,A
5/11/12,21100,A
5/12/12,15800,A
5/13/12,14200,A
5/14/12,14000,A
5/15/12,27200,A
5/16/12,45200,A
5/17/12,35000,A
5/18/12,25700,A
5/19/12,18100,A:e
5/20/12,16200,A:e
5/21/12,12700,A:e
5/22/12,12400,A:e
5/23/12,11100,A:e
5/24/12,14200,A:e
5/25/12,14300,A
5/26/12,12300,A:e
5/27/12,11300,A:e
5/28/12,9420,A:e
5/29/12,8550,A:e
5/30/12,9310,A:e
5/31/12,11000,A:e
6/1/12,12000,A:e
6/2/12,9720,A:e
6/3/12,9160,A:e
6/4/12,7420,A:e
6/5/12,7130,A:e
6/6/12,6160,A:e
6/7/12,6160,A:e
6/8/12,5830,A:e
6/9/12,6440,A:e
6/10/12,5970,A:e
6/11/12,5110,A:e
6/12/12,4770,A:e
6/13/12,5050,A:e
6/14/12,5670,A:e
6/15/12,5170,A:e
